event_id,event_url,event_brand,event_year,event_country,event_date,participants,foreign_participants,new,returning,churn
1448,/events/details/1448/,Swords & Roses,2019,Russia,2019-03-08,28,0,28,0,NA
1992,/events/details/1992/,Swordsquatch,2019,United States,2019-09-06,46,7,46,0,NA
1984,/events/details/1984/,Swordsquatch,2022,United States,2022-09-09,27,2,21,6,0.78
1979,/events/details/1979/,Swordsquatch,2023,United States,2023-09-08,30,0,24,6,0.8
2151,/events/details/2151/,Swordsquatch,2024,United States,2024-09-06,42,0,29,13,0.69
1848,/events/details/1848/,Swordstrong Kc,2023,United States,2023-05-06,65,0,65,0,NA
2047,/events/details/2047/,Swordstrong Kc,2024,United States,2024-05-05,90,1,59,31,0.66
1918,/events/details/1918/,Swordwork Smallsword Tournament,2023,Australia,2023-04-26,13,0,13,0,NA
1558,/events/details/1558/,Sydney Super Series,2019,Australia,2019-11-10,17,0,17,0,NA
1716,/events/details/1716/,Sydney Super Series,2022,Australia,2022-04-24,22,0,18,4,0.82
1881,/events/details/1881/,Sydney Super Series,2023,Australia,2023-04-23,11,0,3,8,0.27
1470,/events/details/1470/,Symphony Of Steel,2019,Germany,2019-05-11,24,4,24,0,NA
1590,/events/details/1590/,Symphony Of Steel,2020,Germany,2020-02-22,36,5,26,10,0.72
1682,/events/details/1682/,Symphony Of Steel,2022,Germany,2022-02-26,59,10,50,9,0.85
1821,/events/details/1821/,Symphony Of Steel,2023,Germany,2023-02-25,58,11,43,15,0.74
2017,/events/details/2017/,Symphony Of Steel,2024,Germany,2024-02-24,72,11,52,20,0.72
1201,/events/details/1201/,Tasmanian Swordplay Symposium,2017,Australia,2017-12-02,18,1,18,0,NA
1402,/events/details/1402/,Tasmanian Swordplay Symposium,2018,Australia,2018-12-01,21,1,11,10,0.52
1566,/events/details/1566/,Tasmanian Swordplay Symposium,2019,Australia,2019-12-01,13,1,5,8,0.38
32,/events/details/32/,Taurhemachia,2015,Italy,2015-11-09,88,21,88,0,NA
75,/events/details/75/,Taurhemachia,2016,Italy,2016-10-07,96,26,52,44,0.54
