event_id,event_brand,event_year,event_name,event_date,event_country,event_city,event_url
1808,Schnegel Fechten,2023,Schnegel Fechten 2023,2023-03-18,United States of America,Texas,/events/details/1808/
1805,Ascalon Sword Festival,2023,Ascalon Sword Festival 2023,2023-03-17,United States of America,Ohio,/events/details/1805/
1890,Battle In The Valley,2023,Battle In The Valley,2023-03-11,United States of America,Vermont,/events/details/1890/
1790,Zilinsky Kumst Vi,2023,Zilinsky Kumst Vi,2023-03-11,Slovakia,Zilina,/events/details/1790/
1798,Fosse Aux Lions,2023,Fosse Aux Lions 2023,2023-03-11,France,Lyon,/events/details/1798/
1802,Keppinautur,2023,Keppinautur 2023,2023-03-11,Iceland,Reykjavik,/events/details/1802/
1819,Mca Friendly Open Longsword Tournament,2023,Dmca Friendly Open Longsword Tournament 2023,2023-03-11,United Kingdom,Durham,/events/details/1819/
1829,Feder League : Fechtberg Poker Cup,2023,Feder League : Fechtberg Poker Cup 2023,2023-02-26,Poland,Bielsko-Biala,/events/details/1829/
1821,Symphony Of Steel,2023,Symphony Of Steel 2023,2023-02-25,Germany,Ulm,/events/details/1821/
1817,Glasgow Hema Open,2023,Glasgow Hema Open 2023,2023-02-25,United Kingdom,Glasgow,/events/details/1817/
1786,Krvise,2023,Krvise 2023,2023-02-25,Hungary,Budapest,/events/details/1786/
2052,Qualificazioni Asc Nord,2023,Qualificazioni Asc Nord 2023,2023-02-25,Italy,Cesena,/events/details/2052/
1797,Socal Swordfight,2023,Socal Swordfight 2023,2023-02-17,United States of America,California,/events/details/1797/
1783,Rotyci Spar,2023,Rotyci Spar 2023,2023-02-11,Czechia,Prague,/events/details/1783/
1784,Idwinter Armizare Open,2023,Midwinter Armizare Open 2023,2023-01-29,United States of America,Illinois,/events/details/1784/
1787,Weird Open,2023,Weird Open 2023,2023-01-27,United States of America,Texas,/events/details/1787/
1794,Helsinki Longsword Open,2023,Helsinki Longsword Open 2023,2023-01-27,Finland,Helsinki,/events/details/1794/
1793,Apofiore Comp,2023,Capofiore Comp 2023,2023-01-27,Australia,Victoria,/events/details/1793/
1806,Ooking Sharpe,2023,Looking Sharpe 2023,2023-01-21,United States of America,Ohio,/events/details/1806/
1859,Torneo Ciudad De Coruna De Esgrima Historica,2023,Iv Torneo Ciudad De Coruna De Esgrima Historica 2023,2023-01-14,Spain,A Coruna,/events/details/1859/
1865,Kings Cup,2023,Kings Cup 2023,2023-01-13,United States of America,Maryland,/events/details/1865/
1852,Grand Challenge De Sabre,2022,Grand Challenge De Sabre 2022,2022-12-17,France,Paris,/events/details/1852/
1887,Hlausturnier Saber,2022,Chlausturnier Saber 2022,2022-12-10,Switzerland,Winterthur,/events/details/1887/
1788,Feder League : Koliada,2022,Feder League : Koliada 2022,2022-12-10,Poland,Katy Wroclawskie,/events/details/1788/
1785,As You Wish,2022,As You Wish 2022,2022-12-10,United States of America,Ohio,/events/details/1785/
1846,King Of The Green Mountain,2022,King Of The Green Mountain 2022,2022-12-10,United States of America,Vermont,/events/details/1846/
1905,Bloody Belgian Waffles I.,2022,Bloody Belgian Waffles I. 2022,2022-12-10,Belgium,Ghent,/events/details/1905/
1796,Anocni Sermirsky Pratelak,2022,Vanocni Sermirsky Pratelak 2022,2022-12-10,Czechia,Roznov Pod Radhostem,/events/details/1796/
1789,Wessex League: London Chapter,2022,Wessex League: London Chapter 2022,2022-12-10,United Kingdom,London,/events/details/1789/
1804,Hvn Singlestick Charity Tournament,2022,Hvn Singlestick Charity Tournament 2022,2022-12-06,Netherlands,Oegstgeest,/events/details/1804/
1818,Akefecht,2022,Cakefecht 2022,2022-12-03,United States of America,Massachusetts,/events/details/1818/
1950,Winter Tournament,2022,Winter Tournament 2022,2022-12-02,Canada,British Columbia,/events/details/1950/
1822,Opa Ignis,2022,Copa Ignis 2022,2022-11-27,Brazil,Parana,/events/details/1822/
1772,Pardubicky Mec,2022,Pardubicky Mec 2022,2022-11-26,Czechia,Pardubice,/events/details/1772/
1795,Swordplay Serbia,2022,Swordplay Serbia 2022,2022-11-25,Serbia,Belgrade,/events/details/1795/
1778,Blue Box Open,2022,Blue Box Open 2022,2022-11-20,United States of America,Ohio,/events/details/1778/
1777,Feder League : Frauschlag: Hema Feder Women Tournament,2022,Feder League : Frauschlag: Hema Feder Women Tournament 2022,2022-11-19,Poland,Zgierz,/events/details/1777/
1855,Umea Open,2022,Umea Open 2022,2022-11-19,Sweden,Umea,/events/details/1855/
1801,Nederlandse Hema Kampioenschappen 2022: Evenement:,2022,Nederlandse Hema Kampioenschappen 2022: Evenement: 3,2022-11-12,Netherlands,Breda,/events/details/1801/
1809,Resdner Fechtschul,2022,Dresdner Fechtschul 2022,2022-11-12,Germany,Dresden,/events/details/1809/
1782,Kord I Puklerz,2022,Kord I Puklerz 2022,2022-11-12,Poland,Warsaw,/events/details/1782/
1776,Afo Tournament Of Defense,2022,Afo Tournament Of Defense 2022,2022-11-05,United States of America,Texas,/events/details/1776/
1757,Krkavci Podzimni Fechtik,2022,Krkavci Podzimni Fechtik 2022,2022-11-05,Czechia,Prague,/events/details/1757/
1803,Id Continental Hema Open,2022,Mid Continental Hema Open 2022,2022-11-04,United States of America,Colorado,/events/details/1803/
1756,Spooky Scary Messer Showdown,2022,Spooky Scary Messer Showdown,2022-10-30,Canada,British Columbia,/events/details/1756/
1764,Wessex League: Cardiff Chapter,2022,Wessex League: Cardiff Chapter 2022,2022-10-29,United Kingdom,Cardiff,/events/details/1764/
1750,Sofia Crossswords,2022,Sofia Crossswords 2022,2022-10-29,Bulgaria,Sofia,/events/details/1750/
1792,Gesellen Fechten,2022,Gesellen Fechten 2022,2022-10-28,United States of America,Oklahoma,/events/details/1792/
1760,Oktoberfecht,2022,Oktoberfecht 2022,2022-10-22,Australia,Victoria,/events/details/1760/
1771,Feder League : Valkyrie Cup,2022,Feder League : Valkyrie Cup 2 2022,2022-10-22,Poland,Lower Silesia,/events/details/1771/
1754,The English Sidesword Open,2022,The English Sidesword Open 2022,2022-10-17,United Kingdom,London,/events/details/1754/
1765,Wessex League: Southampton Chapter,2022,Wessex League: Southampton Chapter 2022,2022-10-15,United Kingdom,Southampton,/events/details/1765/
2055,Italian Sidesword Open,2022,Italian Sidesword Open 2022,2022-10-15,Italy,Desenzano Del Garda,/events/details/2055/
1763,Salt Lake Open,2022,Salt Lake Open 2022,2022-10-14,United States of America,Utah,/events/details/1763/
1947,Fall Tournament,2022,Fall Tournament 2022,2022-10-14,Canada,British Columbia,/events/details/1947/
1755,Podzimove Mecoklani,2022,Podzimove Mecoklani 2 2022,2022-10-09,Czechia,Praha,/events/details/1755/
1868,Lash Of Steel,2022,Clash Of Steel 2022,2022-10-09,Taiwan,New Taipei City,/events/details/1868/
1766,Uel For The Jewel,2022,Duel For The Jewel 2022,2022-10-08,United States of America,Ohio,/events/details/1766/
1758,Anish National Championship,2022,Danish National Championship 2022,2022-10-01,Denmark,Odense,/events/details/1758/
1740,Oslo Penguin Cup,2022,Oslo Penguin Cup 2022,2022-09-24,Norway,Oslo,/events/details/1740/
1739,Hs Grand Prix,2022,Mhs Grand Prix 2022,2022-09-24,Hungary,Budapest,/events/details/1739/
1862,W,2022,W3 2022,2022-09-24,Poland,Warsaw,/events/details/1862/
1762,Swordplay Australia,2022,Swordplay Australia 2022,2022-09-17,Australia,Queensland,/events/details/1762/
1749,Rossroads,2022,Crossroads 2022,2022-09-17,United States of America,Ohio,/events/details/1749/
1743,Ragoon Sabre,2022,Dragoon Sabre 2022,2022-09-17,Czechia,Pardubice,/events/details/1743/
1732,Battle Of Buffalo,2022,Battle Of Buffalo 2022,2022-09-10,United States of America,Missouri,/events/details/1732/
1735,Wessex League: Didcot Chapter,2022,Wessex League: Didcot Chapter 2022,2022-09-10,United Kingdom,Oxfordshire,/events/details/1735/
1984,Swordsquatch,2022,Swordsquatch 2022,2022-09-09,United States of America,Washington,/events/details/1984/
1722,Blood On The River,2022,Blood On The River 2022,2022-09-03,United States of America,Pennsylvania,/events/details/1722/
1723,Steve Hodgson Memorial Tournament,2022,Steve Hodgson Memorial Tournament 2022,2022-09-03,New Zealand,Auckland,/events/details/1723/
1761,Fraufecht,2022,Fraufecht 2022,2022-09-03,United States of America,Nevada,/events/details/1761/
1733,Blademasters Open,2022,Blademasters Open 2022,2022-09-02,Ireland,Cork,/events/details/1733/
1731,Bellum Vitudurum Longsword,2022,Bellum Vitudurum Longsword 2022,2022-08-27,Switzerland,Zurich,/events/details/1731/
1767,Hemageddon,2022,Hemageddon 2022,2022-08-20,United States of America,Ohio,/events/details/1767/
1738,Bothnia Open,2022,Bothnia Open 2022,2022-08-13,Finland,Pietarsaari,/events/details/1738/
1746,Nederlandse Hema Kampioenschappen 2022: Evenement,2022,Nederlandse Hema Kampioenschappen 2022: Evenement 2,2022-08-13,Netherlands,Gouda,/events/details/1746/
1721,Wine Country Sword Crush,2022,Wine Country Sword Crush 2022,2022-08-13,United States of America,California,/events/details/1721/
2162,Texas Audacious Knife Fight,2022,Texas Audacious Knife Fight 2022,2022-08-13,United States of America,Texas,/events/details/2162/
1730,A Midsummer Fight's Dream,2022,A Midsummer Fight's Dream 2022,2022-08-06,United Kingdom,Oxfordshire,/events/details/1730/
2089,Torneo Di Spada A Potsdam,2022,Torneo Di Spada A Potsdam 2022,2022-08-06,Germany,Potsdam,/events/details/2089/
1949,Summer Tournament,2022,Summer Tournament 2022,2022-07-29,Canada,British Columbia,/events/details/1949/
1742,Ombat Con,2022,Combat Con 2022,2022-07-21,United States of America,Nevada,/events/details/1742/
1729,Queen's Gambit,2022,Queen's Gambit 2022,2022-07-15,United States of America,North Carolina,/events/details/1729/
1768,Up,2022,Cup,2022-07-09,Germany,Saxony,/events/details/1768/
1728,Ornhusker State Games,2022,Cornhusker State Games 2022,2022-07-08,United States of America,Nebraska,/events/details/1728/
1744,Torneo De Esgrima Historica Cidade De Pontevedra,2022,Iv Torneo De Esgrima Historica Cidade De Pontevedra,2022-07-05,Spain,Galicia,/events/details/1744/
1737,Swedish Championship,2022,Swedish Championship 2022,2022-07-02,Sweden,Linkoping,/events/details/1737/
1916,Anvil,2022,Anvil 2022,2022-06-25,Canada,Alberta,/events/details/1916/
1770,Queen's Court Open,2022,Queen's Court Open 2022,2022-06-18,United States of America,Ohio,/events/details/1770/
1747,Ublin,2022,Dublin 2022,2022-06-18,Ireland,Dublin,/events/details/1747/
1718,Gold Coast Classic: Longsword,2022,Gold Coast Classic: Longsword 2022,2022-06-18,Australia,Queensland,/events/details/1718/
1717,Onnybrook,2022,Donnybrook 2022,2022-06-11,United States of America,Missouri,/events/details/1717/
1741,Hemac Hemathlon,2022,Hemac Hemathlon 2022,2022-06-11,Greece,Athens,/events/details/1741/
1727,Sa Hema Triathlon,2022,Sa Hema Triathlon 2022,2022-06-11,Australia,South Australia,/events/details/1727/
1858,Iii Torneo Cidade Da Coruna De Esgrima Historica,2022,Iii Torneo Cidade Da Coruna De Esgrima Historica,2022-06-11,Spain,A Coruna,/events/details/1858/
1719,Serfo,2022,Serfo 2022,2022-06-10,United States of America,Georgia,/events/details/1719/
1942,Kings Cup Warmup Saber Tournament & Referee Seminar,2022,Kings Cup Warmup Saber Tournament & Referee Seminar 2022,2022-06-05,United States of America,Virginia,/events/details/1942/
1720,Unicorn Fightclub,2022,Unicorn Fightclub 2022,2022-06-04,New Zealand,Canterbury,/events/details/1720/
1726,Feder League : Black Horns Cup,2022,Feder League : Black Horns Cup 2022,2022-06-04,Poland,Wielkopolska,/events/details/1726/
1769,Karntner Landesmeisterschaft,2022,Karntner Landesmeisterschaft 2022,2022-05-29,Austria,Karnten,/events/details/1769/
1724,Bayou Fecht,2022,Bayou Fecht 2022,2022-05-28,United States of America,Louisiana,/events/details/1724/
1725,Kr Springtournament,2022,Kr Springtournament 2022,2022-05-28,Hungary,Budapest,/events/details/1725/
